alpha,m,fitting
-1.899999999999999911e+00,4.000000000000021316e-01,1.307516780769288345e-01
-1.899999999999999911e+00,5.000000000000022204e-01,1.295905331089115542e-01
-1.899999999999999911e+00,6.000000000000023093e-01,1.316338376716349734e-01
-1.899999999999999911e+00,7.000000000000023981e-01,1.044752014359142944e-01
-1.899999999999999911e+00,8.000000000000024869e-01,1.018450761954629302e-01
-1.899999999999999911e+00,9.000000000000025757e-01,9.810255948756901878e-02
-1.899999999999999911e+00,1.000000000000002665e+00,9.372558053599437666e-02
-1.899999999999999911e+00,1.100000000000002753e+00,8.905074299939115534e-02
-1.899999999999999911e+00,1.200000000000002842e+00,8.430176678857223549e-02
-1.899999999999999911e+00,1.300000000000002931e+00,7.962057629346988574e-02
-1.899999999999999911e+00,1.400000000000003020e+00,7.509303070707466776e-02
-1.899999999999999911e+00,1.500000000000003109e+00,7.076783501557426526e-02
-1.899999999999999911e+00,1.600000000000003197e+00,6.666961979949852235e-02
-1.899999999999999911e+00,1.700000000000003286e+00,6.280769498979922594e-02
-1.899999999999999911e+00,1.800000000000003375e+00,5.918180335375150536e-02
-1.899999999999999911e+00,1.900000000000003464e+00,5.578586413551715750e-02
-1.799999999999999822e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.199999999999999289e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-1.099999999999999201e+00,0.000000000000000000e+00
-1.799999999999999822e+00,-9.999999999999991118e-01,2.407596621503364787e-02
-1.799999999999999822e+00,-8.999999999999990230e-01,2.481570910897895957e-02
-1.799999999999999822e+00,-7.999999999999989342e-01,2.536811068581532047e-02
-1.799999999999999822e+00,-6.999999999999988454e-01,3.098048670283547537e-02
-1.799999999999999822e+00,-5.999999999999987566e-01,3.768289773814607196e-02
-1.799999999999999822e+00,-4.999999999999986677e-01,4.668045456333819870e-02
-1.799999999999999822e+00,-3.999999999999985789e-01,5.174977464909291669e-02
-1.799999999999999822e+00,-2.999999999999984901e-01,8.336806394654946994e-02
-1.799999999999999822e+00,-1.999999999999984013e-01,8.433126471100965693e-02
-1.799999999999999822e+00,-9.999999999999831246e-02,1.176412063066476915e-01
-1.799999999999999822e+00,1.776356839400250465e-15,1.348913238201719655e-01
-1.799999999999999822e+00,1.000000000000018652e-01,1.604921930778763495e-01
-1.799999999999999822e+00,2.000000000000019540e-01,1.801577464441355969e-01
-1.799999999999999822e+00,3.000000000000020428e-01,1.984456865741259235e-01
-1.799999999999999822e+00,4.000000000000021316e-01,1.319615406922351741e-01
-1.799999999999999822e+00,5.000000000000022204e-01,1.295854879311938712e-01
-1.799999999999999822e+00,6.000000000000023093e-01,1.312805925902209570e-01
-1.799999999999999822e+00,7.000000000000023981e-01,1.030927112523754435e-01
-1.799999999999999822e+00,8.000000000000024869e-01,1.002787368878104990e-01
-1.799999999999999822e+00,9.000000000000025757e-01,9.642288488307433625e-02
-1.799999999999999822e+00,1.000000000000002665e+00,9.198342901759111456e-02
-1.799999999999999822e+00,1.100000000000002753e+00,8.728121819501180600e-02
-1.799999999999999822e+00,1.200000000000002842e+00,8.252858834997119086e-02
-1.799999999999999822e+00,1.300000000000002931e+00,7.785966686028988892e-02
-1.799999999999999822e+00,1.400000000000003020e+00,7.335510213837674598e-02
-1.799999999999999822e+00,1.500000000000003109e+00,6.906013646359690505e-02
-1.799999999999999822e+00,1.600000000000003197e+00,6.499708155535179055e-02
-1.799999999999999822e+00,1.700000000000003286e+00,6.117366694314935183e-02
-1.799999999999999822e+00,1.800000000000003375e+00,5.758853147709513953e-02
-1.799999999999999822e+00,1.900000000000003464e+00,5.423480089236573654e-02
-1.699999999999999734e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.199999999999999289e+00,0.000000000000000000e+00
-1.699999999999999734e+00,-1.099999999999999201e+00,2.370745853497160591e-02
-1.699999999999999734e+00,-9.999999999999991118e-01,2.477938547614526310e-02
-1.699999999999999734e+00,-8.999999999999990230e-01,2.549151524272593936e-02
-1.699999999999999734e+00,-7.999999999999989342e-01,2.757341860800141195e-02
-1.699999999999999734e+00,-6.999999999999988454e-01,3.441998910717308097e-02
-1.699999999999999734e+00,-5.999999999999987566e-01,4.152871353287624495e-02
-1.699999999999999734e+00,-4.999999999999986677e-01,5.043478345522539597e-02
-1.699999999999999734e+00,-3.999999999999985789e-01,5.548969421087338039e-02
-1.699999999999999734e+00,-2.999999999999984901e-01,8.695496522467946465e-02
-1.699999999999999734e+00,-1.999999999999984013e-01,8.797911536321618986e-02
