alpha,m,fitting
2.000000000000019540e-01,-5.999999999999987566e-01,8.373677518343043413e-01
2.000000000000019540e-01,-4.999999999999986677e-01,8.338953318837869499e-01
2.000000000000019540e-01,-3.999999999999985789e-01,8.300461742791981345e-01
2.000000000000019540e-01,-2.999999999999984901e-01,8.254610868958075498e-01
2.000000000000019540e-01,-1.999999999999984013e-01,8.198056399526921778e-01
2.000000000000019540e-01,-9.999999999999831246e-02,8.129393396828609175e-01
2.000000000000019540e-01,1.776356839400250465e-15,7.911738385727120626e-01
2.000000000000019540e-01,1.000000000000018652e-01,7.964430770470504184e-01
2.000000000000019540e-01,2.000000000000019540e-01,7.876870824451103204e-01
2.000000000000019540e-01,3.000000000000020428e-01,7.791680456908127717e-01
2.000000000000019540e-01,4.000000000000021316e-01,7.711779329105863390e-01
2.000000000000019540e-01,5.000000000000022204e-01,7.638789681154107836e-01
2.000000000000019540e-01,6.000000000000023093e-01,7.573275453970820248e-01
2.000000000000019540e-01,7.000000000000023981e-01,7.515062455060729230e-01
2.000000000000019540e-01,8.000000000000024869e-01,7.463533212067300360e-01
2.000000000000019540e-01,9.000000000000025757e-01,7.417854034337553193e-01
2.000000000000019540e-01,1.000000000000002665e+00,7.377128036110782716e-01
2.000000000000019540e-01,1.100000000000002753e+00,7.340485993399387121e-01
2.000000000000019540e-01,1.200000000000002842e+00,7.307132720077849086e-01
2.000000000000019540e-01,1.300000000000002931e+00,7.276365369154956797e-01
2.000000000000019540e-01,1.400000000000003020e+00,7.247575977400263492e-01
2.000000000000019540e-01,1.500000000000003109e+00,7.220246293310093044e-01
2.000000000000019540e-01,1.600000000000003197e+00,7.193939563288770378e-01
2.000000000000019540e-01,1.700000000000003286e+00,7.168291688623301683e-01
2.000000000000019540e-01,1.800000000000003375e+00,7.143002811303507116e-01
2.000000000000019540e-01,1.900000000000003464e+00,7.117829661589276657e-01
3.000000000000020428e-01,-2.000000000000000000e+00,9.320493090658058533e-01
3.000000000000020428e-01,-1.899999999999999911e+00,9.313825540980125162e-01
3.000000000000020428e-01,-1.799999999999999822e+00,9.305338714796843602e-01
3.000000000000020428e-01,-1.699999999999999734e+00,9.294931668097560218e-01
3.000000000000020428e-01,-1.599999999999999645e+00,9.282545825917700721e-01
3.000000000000020428e-01,-1.499999999999999556e+00,9.268174526289324477e-01
3.000000000000020428e-01,-1.399999999999999467e+00,9.251869520807204372e-01
3.000000000000020428e-01,-1.299999999999999378e+00,9.233743918596946099e-01
3.000000000000020428e-01,-1.199999999999999289e+00,9.213971832884685353e-01
3.000000000000020428e-01,-1.099999999999999201e+00,9.192785316840332843e-01
3.000000000000020428e-01,-9.999999999999991118e-01,9.170468690867745742e-01
3.000000000000020428e-01,-8.999999999999990230e-01,9.147348864332127683e-01
3.000000000000020428e-01,-7.999999999999989342e-01,9.123777546087762369e-01
3.000000000000020428e-01,-6.999999999999988454e-01,9.100097004118602451e-01
3.000000000000020428e-01,-5.999999999999987566e-01,9.076575106620825562e-01
3.000000000000020428e-01,-4.999999999999986677e-01,9.053289083820551530e-01
3.000000000000020428e-01,-3.999999999999985789e-01,9.029937504947185278e-01
3.000000000000020428e-01,-2.999999999999984901e-01,9.005586415509732046e-01
3.000000000000020428e-01,-1.999999999999984013e-01,8.978446461197199246e-01
